stable_id,va,rva,section,size,provisional_name,refined_name,workflow_status,confidence,fast_pass,fast_pass_validated,converted,refined,verified,matched,linked,calling_convention,return_type,arguments,this_type,module,subsystem,source_file,owner,claim_id,pr,commit,test,evidence,notes
FUN_00401250,0x00401250,0x00001250,.text,6,FUN_00401250,,ACTIVE,HIGH,true,true,false,false,false,false,false,cdecl,void,,,UNKNOWN,UNKNOWN,src/recovered/region_00401000.cpp,coordinator,SEQ-00401250,#28,886e53a5292d46c68137bc82083c968c0b8eae53,tests/unit/test_region_00401000.cpp,decomp/evidence/region_00401000.md,exact steam_api!SteamAPI_RunCallbacks import thunk recovered through platform adapter; PR #28 CI 5/5 PASS
FUN_00401260,0x00401260,0x00001260,.text,6,FUN_00401260,,ACTIVE,HIGH,true,true,false,false,false,false,false,cdecl,void,,,UNKNOWN,UNKNOWN,src/recovered/region_00401000.cpp,coordinator,SEQ-00401260,#28,886e53a5292d46c68137bc82083c968c0b8eae53,tests/unit/test_region_00401000.cpp,decomp/evidence/region_00401000.md,exact steam_api!SteamAPI_RunCallbacks import thunk recovered through platform adapter; PR #28 CI 5/5 PASS
FUN_00401270,0x00401270,0x00001270,.text,121,FUN_00401270,,ACTIVE,HIGH,true,true,false,false,false,false,false,cdecl,void,,,UNKNOWN,UNKNOWN,src/recovered/region_00401000.cpp,coordinator,SEQ-00401270,#31,20a79e5d23c2bdd18cbc3bfabc22d3d7972587de,tests/unit/test_region_00401000.cpp,decomp/evidence/region_00401000.md,70-entry achievement write loop with exact XUSER layouts and injectable UNKNOWN global bindings; PR #31 CI 5/5 PASS
FUN_004012F0,0x004012F0,0x000012F0,.text,183,FUN_004012F0,,ACTIVE,HIGH,true,true,false,false,false,false,false,stdcall,uint32_t,void** out_buffer; uint32_t requested_count; uint32_t unused,,UNKNOWN,UNKNOWN,src/recovered/region_00401000.cpp,coordinator,SEQ-004012F0,#34,4c08d86b6bc79dd696e41005c1d8067f907ac13d,tests/unit/test_region_00401000.cpp,decomp/evidence/region_00401000.md,XLive achievement enumerator wrapper recovered with exact title ID/default count/handle-close rules; PR #34 CI 5/5 PASS
FUN_00401400,0x00401400,0x00001400,.text,10,FUN_00401400,,ACTIVE,HIGH,true,true,false,false,false,false,false,thiscall,bool,,FUN_00401400_Object*,UNKNOWN,UNKNOWN,src/recovered/region_00401000.cpp,coordinator,SEQ-00401400,#37,1eee7d9d269efb688d73fe68a950adadf852ef17,tests/unit/test_region_00401000.cpp,decomp/evidence/region_00401000.md,field equality helper at this+0x04/this+0x08; PR #37 CI 5/5 PASS
FUN_00401410,0x00401410,0x00001410,.text,43,FUN_00401410,,ACTIVE,HIGH,true,true,false,false,false,false,false,cdecl,void,,,UNKNOWN,UNKNOWN,src/recovered/region_00401000.cpp,coordinator,SEQ-00401410,#41,e59d7b938e5a89c7ac22fe67d9b3763932f1955f,tests/unit/test_region_00401000.cpp,decomp/evidence/region_00401000.md,conditional virtual dispatch helper through provider 0x013714C8; PR #41 CI 5/5 PASS
FUN_00401470,0x00401470,0x00001470,.text,69,FUN_00401470,,ACTIVE,HIGH,true,true,false,false,false,false,false,cdecl,uint32_t,,,UNKNOWN,UNKNOWN,src/recovered/region_00401000.cpp,coordinator,SEQ-00401470,#44,7fe1355428d809d329d36f03efcdaa3837038fb4,tests/unit/test_region_00401000.cpp,decomp/evidence/region_00401000.md,provider value query helper; PR #44 CI 5/5 PASS
FUN_004014C0,0x004014C0,0x000014C0,.text,261,FUN_004014C0,,ACTIVE,HIGH,true,true,false,false,false,false,false,cdecl,bool,,,UNKNOWN,UNKNOWN,src/recovered/fun_004014c0.cpp,coordinator,SEQ-004014C0,#47,fe7c8a1ffaf7406cf0b6308951e51fc6fe8b059c,tests/unit/test_fun_004014c0.cpp,decomp/evidence/fun_004014c0.md,dual polling state helper; PR #47 CI 5/5 PASS
FUN_004015D0,0x004015D0,0x000015D0,.text,104,FUN_004015D0,,ACTIVE,HIGH,true,true,false,false,false,false,false,cdecl,int,,,UNKNOWN,UNKNOWN,src/recovered/fun_004015d0.cpp,coordinator,SEQ-004015D0,#52,dd7313c1a11ac14d658391643a018864708e83b5,tests/unit/test_fun_004015d0.cpp,decomp/evidence/fun_004015d0.md,SteamUtils IP-country table mapper; PR #52 CI 5/5 PASS
FUN_00401640,0x00401640,0x00001640,.text,6,FUN_00401640,,ACTIVE,HIGH,true,true,false,false,false,false,false,cdecl,void,,,UNKNOWN,UNKNOWN,src/recovered/fun_00401640.cpp,coordinator,SEQ-00401640,#56,9083a86ea272cc47131e0585970d5af85ae26c30,tests/unit/test_fun_00401640.cpp,decomp/evidence/fun_00401640.md,exact steam_api!SteamAPI_Shutdown tail thunk; PR #56 CI 5/5 PASS
